,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
17,201163,Wilson Chandler,1610612743,DEN,31.0,6-9,81,225,DePaul,USA,2007,1,23,74,10.0,5.4,2.1,1.4,0.044,0.127,0.142,0.542,0.094,2017-18
0,202087,Alonzo Gee,1610612743,DEN,30.0,6-6,78,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.2,0.5,0.9,0.043,0.11,0.103,0.306,0.092,2016-17
1,201568,Danilo Gallinari,1610612743,DEN,28.0,6-10,82,225,None,Italy,2008,1,6,63,18.2,5.2,2.1,3.4,0.018,0.13,0.198,0.622,0.09,2016-17
2,201589,Darrell Arthur,1610612743,DEN,29.0,6-9,81,235,Kansas,USA,2008,1,27,41,6.4,2.7,1.0,-1.5,0.038,0.133,0.176,0.583,0.099,2016-17
3,1626144,Emmanuel Mudiay,1610612743,DEN,21.0,6-5,77,200,None,Democratic Republic of the Congo,2015,1,7,55,11.0,3.2,3.9,-4.7,0.02,0.104,0.222,0.483,0.222,2016-17
4,203914,Gary Harris,1610612743,DEN,22.0,6-4,76,210,Michigan State,USA,2014,1,19,57,14.9,3.1,2.9,2.2,0.027,0.076,0.183,0.611,0.129,2016-17
5,1627750,Jamal Murray,1610612743,DEN,20.0,6-4,76,207,Kentucky,Canada,2016,1,7,82,9.9,2.6,2.1,2.2,0.023,0.095,0.212,0.518,0.142,2016-17
6,2749,Jameer Nelson,1610612743,DEN,35.0,6-0,72,190,St. Joseph's (PA),USA,2004,1,20,75,9.2,2.6,5.1,2.9,0.013,0.08,0.156,0.544,0.258,2016-17
7,203950,Jarnell Stokes,1610612743,DEN,23.0,6-9,81,255,Tennessee,USA,2014,2,35,2,1.5,1.0,1.0,0.0,0.1,0.143,0.111,0.798,0.4,2016-17
9,1627823,Juancho Hernangomez,1610612743,DEN,21.0,6-9,81,230,None,Spain,2016,1,15,62,4.9,3.0,0.5,-2.2,0.047,0.171,0.139,0.592,0.048,2016-17
11,202702,Kenneth Faried,1610612743,DEN,27.0,6-8,80,228,Morehead State,USA,2011,1,22,61,9.6,7.6,0.9,-1.7,0.135,0.218,0.179,0.588,0.064,2016-17
12,1627736,Malik Beasley,1610612743,DEN,20.0,6-5,77,196,Florida State,USA,2016,1,19,22,3.8,0.8,0.5,15.5,0.032,0.064,0.216,0.536,0.098,2016-17
13,203486,Mason Plumlee,1610612743,DEN,27.0,6-11,83,255,Duke,USA,2013,1,22,27,9.1,6.4,2.6,-0.4,0.079,0.185,0.177,0.571,0.158,2016-17
14,2034,Mike Miller,1610612743,DEN,37.0,6-8,80,218,Florida,USA,2000,1,5,20,1.4,1.9,1.1,-0.9,0.014,0.243,0.102,0.586,0.195,2016-17
15,203999,Nikola Jokic,1610612743,DEN,22.0,6-10,82,250,None,Serbia,2014,2,41,73,16.7,9.8,4.9,6.5,0.106,0.248,0.231,0.64,0.266,2016-17
16,201579,Roy Hibbert,1610612743,DEN,30.0,7-2,86,270,Georgetown,USA,2008,1,17,6,0.7,0.3,0.2,-46.2,0.111,0.077,0.143,0.667,0.25,2016-17
17,203115,Will Barton,1610612743,DEN,26.0,6-6,78,175,Memphis,USA,2012,2,40,60,13.7,4.3,3.4,-2.1,0.032,0.12,0.207,0.547,0.185,2016-17
18,201163,Wilson Chandler,1610612743,DEN,30.0,6-8,80,225,DePaul,USA,2007,1,23,71,15.7,6.5,2.0,-1.0,0.046,0.162,0.217,0.545,0.097,2016-17
0,1626253,Axel Toupane,1610612743,DEN,23.0,6-7,79,210,None,France,Undrafted,Undrafted,Undrafted,21,3.6,1.5,0.7,-2.2,0.028,0.076,0.122,0.49,0.068,2015-16
1,201571,D.J. Augustin,1610612743,DEN,28.0,6-0,72,183,Texas,USA,2008,1,9,28,11.6,1.9,4.7,-0.5,0.005,0.074,0.213,0.601,0.311,2015-16
2,201568,Danilo Gallinari,1610612743,DEN,27.0,6-10,82,225,None,Italy,2008,1,6,53,19.5,5.3,2.5,-2.8,0.027,0.127,0.226,0.582,0.122,2015-16
3,201589,Darrell Arthur,1610612743,DEN,28.0,6-9,81,235,Kansas,USA,2008,1,27,70,7.5,4.2,1.4,-1.8,0.055,0.132,0.165,0.514,0.102,2015-16
4,1626144,Emmanuel Mudiay,1610612743,DEN,20.0,6-5,77,200,None,Democratic Republic of the Congo,2015,1,7,68,12.8,3.4,5.5,-3.1,0.015,0.097,0.25,0.437,0.281,2015-16
5,203475,Erick Green,1610612743,DEN,25.0,6-4,76,185,Virginia Tech,USA,2013,2,46,3,0.0,0.3,0.3,0.4,0.0,0.2,0.059,0.0,0.2,2015-16
6,203914,Gary Harris,1610612743,DEN,21.0,6-4,76,210,Michigan State,USA,2014,1,19,76,12.3,2.9,1.9,-4.1,0.021,0.069,0.16,0.566,0.093,2015-16
8,203960,JaKarr Sampson,1610612743,DEN,23.0,6-9,81,214,St. John's (NY),USA,Undrafted,Undrafted,Undrafted,26,5.2,2.3,0.6,-3.3,0.033,0.091,0.137,0.532,0.05,2015-16
9,2749,Jameer Nelson,1610612743,DEN,34.0,6-0,72,190,St. Joseph's (PA),USA,2004,1,20,39,7.7,2.9,4.9,-7.1,0.017,0.097,0.163,0.464,0.287,2015-16
10,203530,Joffrey Lauvergne,1610612743,DEN,24.0,6-11,83,220,None,France,2013,2,55,59,7.9,4.9,0.9,-9.8,0.073,0.204,0.196,0.567,0.093,2015-16
11,203994,Jusuf Nurkic,1610612743,DEN,21.0,7-0,84,280,None,Bosnia and Herzegovina,2014,1,16,32,8.2,5.5,1.3,-0.6,0.113,0.2,0.266,0.46,0.123,2015-16
