,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
7,1628966,Keita Bates-Diop,Keita,1610612743,DEN,24.0,7,2,5,0.286,14.0,119.5,1.9,0.138,0.21,0.3,0.133,0.6,0.333,6.7,3.6,3.4,13.1,-0.003,16,18,6,19,13,17,12,10,10,17,19,7,4,11,10,9,9,17,2019-20
8,1627736,Malik Beasley,Malik,1610612750,MIN,23.0,41,26,15,0.634,18.2,106.6,1.7,0.089,0.134,0.8,0.233,0.1,0.083,5.5,4.3,5.1,18.6,0.064,11,11,11,6,9,3,13,18,18,7,5,16,18,7,11,13,13,7,2019-20
9,203486,Mason Plumlee,Mason,1610612743,DEN,30.0,61,38,23,0.623,17.3,108.6,3.6,0.195,0.296,0.5,0.2,0.6,0.328,6.1,4.7,4.4,16.9,0.054,4,4,18,10,10,8,4,3,3,10,9,3,6,10,13,12,12,9,2019-20
10,1629008,Michael Porter Jr.,Michael,1610612743,DEN,22.0,55,36,19,0.655,16.4,112.4,3.5,0.214,0.309,0.5,0.182,0.5,0.298,5.7,4.6,4.2,16.1,0.032,9,9,12,4,11,13,5,2,2,13,14,9,8,8,12,11,11,12,2019-20
11,1628420,Monte Morris,Monte,1610612743,DEN,25.0,73,46,27,0.63,22.4,109.3,1.5,0.067,0.101,0.8,0.2,0.2,0.092,7.2,6.1,5.6,22.3,0.064,1,1,20,8,7,10,15,21,21,8,9,13,17,14,16,15,15,6,2019-20
12,203999,Nikola Jokic,Nikola,1610612743,DEN,25.0,73,46,27,0.63,32.0,108.9,7.5,0.237,0.341,1.2,0.219,0.6,0.216,10.2,7.8,8.2,31.2,0.093,1,1,20,8,3,9,1,1,1,2,7,5,11,19,19,19,18,5,2019-20
13,203943,Noah Vonleh,Noah,1610612743,DEN,24.0,7,3,4,0.429,4.3,127.0,0.7,0.179,0.278,0.0,0.0,0.0,0.0,1.7,1.1,0.7,4.3,-0.011,16,16,4,18,20,21,19,4,4,21,21,19,19,2,3,4,2,19,2019-20
14,1628408,PJ Dozier,PJ,1610612743,DEN,23.0,29,18,11,0.621,14.2,115.2,1.6,0.108,0.155,0.5,0.189,0.2,0.136,6.1,3.0,3.6,12.8,0.016,13,13,9,11,12,15,14,14,14,14,13,14,13,9,7,10,8,14,2019-20
15,200794,Paul Millsap,Paul,1610612743,DEN,35.0,51,30,21,0.588,24.3,104.5,3.8,0.157,0.224,0.9,0.191,0.6,0.306,8.0,5.6,6.2,22.7,0.103,10,10,16,12,6,2,3,7,8,6,12,6,7,16,15,16,16,4,2019-20
16,1628470,Torrey Craig,Torrey,1610612743,DEN,29.0,58,38,20,0.655,18.5,113.3,2.2,0.118,0.174,0.4,0.152,0.6,0.35,6.7,4.8,5.2,19.1,0.03,6,4,14,2,8,14,9,13,12,15,18,4,3,13,14,14,14,13,2019-20
17,203584,Troy Daniels,Troy,1610612743,DEN,28.0,6,3,3,0.5,12.7,107.5,1.0,0.077,0.118,0.5,0.214,0.0,0.0,4.3,2.3,3.2,10.7,0.043,19,16,3,15,14,6,16,20,19,11,8,19,19,6,4,8,6,11,2019-20
18,1629076,Tyler Cook,Tyler,1610612743,DEN,22.0,2,0,2,0.0,9.6,122.5,1.0,0.091,0.154,1.0,0.5,0.0,0.0,7.5,3.0,0.0,9.0,-0.011,21,21,1,21,17,19,16,17,15,5,1,19,19,15,7,1,5,20,2019-20
19,1628427,Vlatko Cancar,Vlatko,1610612743,DEN,23.0,14,7,7,0.5,3.2,110.1,0.4,0.119,0.156,0.1,0.167,0.1,0.333,1.5,0.6,0.6,2.6,0.009,14,14,8,15,21,11,21,12,13,20,17,18,4,1,1,3,1,15,2019-20
20,203115,Will Barton,Will,1610612743,DEN,29.0,58,38,20,0.655,33.0,106.9,5.0,0.147,0.217,1.1,0.182,0.5,0.159,10.1,8.7,8.1,33.7,0.115,6,4,14,2,1,4,2,8,9,4,15,8,12,18,21,18,21,1,2019-20
0,1629164,Brandon Goodwin,Brandon,1610612743,DEN,23.0,16,10,6,0.625,3.6,99.2,0.1,0.038,0.053,0.0,0.0,0.0,0.0,0.9,1.0,0.4,3.6,0.021,14,13,5,16,16,3,18,17,17,16,16,15,15,4,3,1,2,16,2018-19
1,1629152,DeVaughn Akoon-Purcell,DeVaughn,1610612743,DEN,26.0,7,7,0,1.0,3.1,102.0,0.4,0.15,0.2,0.3,0.667,0.0,0.0,0.4,1.0,1.6,3.1,0.017,17,16,1,1,18,4,15,6,7,14,1,15,15,2,3,5,1,17,2018-19
2,203914,Gary Harris,Gary,1610612743,DEN,24.0,57,38,19,0.667,28.8,105.3,2.1,0.07,0.1,1.0,0.199,0.3,0.129,9.8,7.1,7.8,29.5,0.113,10,10,9,6,3,8,9,15,15,3,7,9,9,16,16,15,16,1,2018-19
